1078;A;100;13;139;;;;;
1079;A;100;13;777;;;;;
1080;A;100;142;68722;;;;;
1081;A;100;142;78722;;;;;
1082;A;100;143;6873;;;;;
1083;A;100;143;7873;;;;;
1084;A;100;144;6874;;;;;
1085;A;100;144;7874;;;;;
1086;A;100;145;68725;;;;;
1087;A;100;145;78725;;;;;
1088;A;100;146;68726;;;;;
1089;A;100;146;78726;;;;;
1090;A;100;147;68727;;;;;
1091;A;100;147;78727;;;;;
1092;A;100;148;68728;;;;;
1093;A;100;148;78728;;;;;
1094;A;100;15;6815;;;;;
1095;A;100;15;7815;;;;;
1096;A;100;20;280;;;;;
1097;A;100;20;68111;;;;;
1098;A;100;21;281;;;;;
1099;A;100;21;68112;;;;;
1100;A;100;22;282;;;;;
1101;A;100;22;68112;;;;;
1102;A;100;241;28411;;;;;
1103;A;100;241;681141;;;;;
1104;A;100;241;7121;;;;;
1105;A;100;242;28412;;;;;
1106;A;100;242;681142;;;;;
1107;A;100;242;7122;;;;;
1108;A;100;243;2843;;;;;
1109;A;100;243;681143;;;;;
1110;A;100;246;2846;;;;;
1111;A;100;246;681146;;;;;
1112;A;100;247;2847;;;;;
1113;A;100;247;681147;;;;;
1114;A;100;290;68161;;;;;
1115;A;100;290;78161;;;;;
1116;A;100;291;68162;;;;;
1117;A;100;291;78162;;;;;
1118;A;100;292;68165;;;;;
1119;A;100;292;78165;;;;;
1120;A;100;293;68163;;;;;
1121;A;100;293;78163;;;;;
1122;A;100;294;68164;;;;;
1123;A;100;294;78164;;;;;
1124;A;100;296;68662;;;;;
1125;A;100;296;78662;;;;;
1126;A;100;297;6867;;;;;
1127;A;100;297;7867;;;;;
1128;A;100;31;7131;;;;;
1129;A;100;32;7132;;;;;
1130;A;100;33;7133;;;;;
1131;A;100;34;7134;;;;;
1132;A;100;35;7135;;;;;
1133;A;100;36;7136;;;;;
1134;A;100;39;68173;;;;;
1135;A;100;39;78173;;;;;
1136;A;100;481;6812;;;;;
1137;A;100;481;791;;;;;
1138;A;100;49;68174;;;;;
1139;A;100;49;78174;;;;;
1140;A;100;59;68665;;;;;
1141;A;100;59;78665;;;;;
1142;A;100;601;301;;;;;
1143;A;100;601;6031;;;;;
1144;A;100;602;302;;;;;
1145;A;100;602;6032;;;;;
1146;A;100;607;307;;;;;
1147;A;100;607;6037;;;;;
1148;A;100;607;707;;;;;
1149;A;100;701;374;;;;;
1150;A;100;701;71374;;;;;
1151;A;100;702;375;;;;;
1152;A;100;702;71375;;;;;
1153;A;100;703;376;;;;;
1154;A;100;703;71376;;;;;
1155;A;100;705;377;;;;;
1156;A;100;705;71377;;;;;
1157;A;100;708;378;;;;;
1158;A;100;708;71378;;;;;
1159;A;100;726;1083;;;;;
1160;A;100;756;656;;;;;
1161;A;100;775;675;;;;;
